,userid,itemid,labels
0,196,242,1
1,186,302,1
2,22,377,1
3,244,51,1
4,166,346,1
5,298,474,1
6,115,265,1
7,253,465,1
8,305,451,1
9,6,86,1
10,62,257,1
11,286,1014,1
12,200,222,1
13,210,40,1
14,224,29,1
15,303,785,1
16,122,387,1
17,194,274,1
18,291,1042,1
19,234,1184,1
20,119,392,1
21,167,486,1
22,299,144,1
23,291,118,1
24,308,1,1
25,95,546,1
26,38,95,1
27,102,768,1
28,63,277,1
29,160,234,1
30,50,246,1
31,301,98,1
32,225,193,1
33,290,88,1
34,97,194,1
35,157,274,1
36,181,1081,1
37,278,603,1
38,276,796,1
39,7,32,1
40,10,16,1
41,284,304,1
42,201,979,1
43,276,564,1
44,287,327,1
45,246,201,1
46,242,1137,1
47,249,241,1
48,99,4,1
49,178,332,1
50,251,100,1
51,81,432,1
52,260,322,1
53,25,181,1
54,59,196,1
55,72,679,1
56,87,384,1
57,290,143,1
58,42,423,1
59,292,515,1
60,115,20,1
61,20,288,1
62,201,219,1
63,13,526,1
64,246,919,1
65,138,26,1
66,167,232,1
67,60,427,1
68,57,304,1
69,223,274,1
70,189,512,1
71,243,15,1
72,92,1049,1
73,246,416,1
74,194,165,1
75,241,690,1
76,178,248,1
77,254,1444,1
78,293,5,1
79,127,229,1
80,225,237,1
81,299,229,1
82,225,480,1
83,276,54,1
84,291,144,1
85,222,366,1
86,267,518,1
87,42,403,1
88,11,111,1
89,95,625,1
90,8,338,1
91,162,25,1
92,87,1016,1
93,279,154,1
94,145,275,1
95,119,1153,1
96,62,498,1
97,62,382,1
98,28,209,1
99,135,23,1
100,32,294,1
101,90,382,1
102,286,208,1
103,293,685,1
104,216,144,1
105,166,328,1
106,250,496,1
107,271,132,1
108,160,174,1
109,265,118,1
110,198,498,1
111,42,96,1
112,168,151,1
113,110,307,1
114,58,144,1
115,90,648,1
116,271,346,1
117,62,21,1
118,279,832,1
119,237,514,1
120,94,789,1
121,128,485,1
122,298,317,1
123,44,195,1
124,264,200,1
125,194,385,1
126,72,195,1
127,222,750,1
128,250,264,1
129,41,265,1
130,224,245,1
131,82,135,1
132,262,1147,1
133,293,471,1
134,216,658,1
135,250,140,1
136,59,23,1
137,286,379,1
138,244,815,1
139,7,479,1
140,174,368,1
141,87,274,1
142,194,1211,1
143,82,1134,1
144,13,836,1
145,13,272,1
146,244,756,1
147,305,427,1
148,95,787,1
149,43,14,1
150,299,955,1
151,57,419,1
152,84,405,1
153,269,504,1
154,299,111,1
155,194,466,1
156,160,135,1
157,99,268,1
158,10,486,1
159,259,117,1
160,85,427,1
161,303,919,1
162,213,273,1
163,121,514,1
164,90,98,1
165,49,559,1
166,42,794,1
167,155,323,1
168,68,117,1
169,172,177,1
170,19,4,1
171,268,231,1
172,5,2,1
173,305,117,1
174,44,294,1
175,43,137,1
176,279,1336,1
177,80,466,1
178,254,164,1
179,298,281,1
180,279,1240,1
181,66,298,1
182,18,443,1
183,268,1035,1
184,99,79,1
185,13,98,1
186,26,258,1
187,7,455,1
188,222,755,1
189,200,673,1
190,119,328,1
191,213,172,1
192,276,322,1
193,94,1217,1
194,130,379,1
195,38,328,1
196,160,719,1
197,293,1267,1
198,26,930,1
199,130,216,1
200,92,1079,1
201,256,452,1
202,1,61,1
203,72,48,1
204,56,755,1
205,13,360,1
206,15,405,1
207,92,77,1
208,207,476,1
209,292,174,1
210,232,483,1
211,251,748,1
212,224,26,1
213,181,220,1
214,259,255,1
215,305,471,1
216,52,280,1
217,161,202,1
218,148,408,1
219,125,235,1
220,97,228,1
221,58,1098,1
222,83,234,1
223,90,347,1
224,272,178,1
225,194,181,1
226,125,478,1
227,110,688,1
228,299,14,1
229,151,10,1
230,269,127,1
231,6,14,1
232,54,106,1
233,303,69,1
234,16,944,1
235,301,790,1
236,276,1091,1
237,305,214,1
238,194,1028,1
239,91,323,1
240,87,554,1
241,294,109,1
242,286,171,1
243,200,318,1
244,229,328,1
245,178,568,1
246,303,842,1
247,62,65,1
248,207,591,1
249,92,172,1
250,301,401,1
251,36,339,1
252,70,746,1
253,63,242,1
254,28,201,1
255,279,68,1
256,250,7,1
257,14,98,1
258,299,1018,1
259,194,54,1
260,303,815,1
261,119,237,1
262,295,218,1
263,268,930,1
264,268,2,1
265,66,258,1
266,233,202,1
267,83,623,1
268,214,334,1
269,192,476,1
270,100,344,1
271,268,145,1
272,301,56,1
273,307,89,1
274,234,141,1
275,83,576,1
276,181,264,1
277,297,133,1
278,38,153,1
279,7,382,1
280,264,813,1
281,181,872,1
282,201,146,1
283,85,507,1
284,269,367,1
285,59,468,1
286,286,143,1
287,193,96,1
288,113,595,1
289,292,11,1
290,130,1014,1
291,275,98,1
292,189,520,1
293,219,82,1
294,218,209,1
295,123,427,1
296,119,222,1
297,158,177,1
298,222,118,1
299,302,322,1
300,279,501,1
301,301,79,1
302,181,3,1
303,201,695,1
304,13,198,1
305,1,189,1
306,145,237,1
307,23,385,1
308,201,767,1
309,296,705,1
310,42,546,1
311,33,872,1
312,301,554,1
313,16,64,1
314,95,135,1
315,154,357,1
316,77,484,1
317,296,508,1
318,302,303,1
319,244,673,1
320,222,77,1
321,13,215,1
322,16,705,1
323,270,452,1
324,145,15,1
325,187,64,1
326,200,304,1
327,170,749,1
328,101,829,1
329,184,218,1
330,128,204,1
331,181,1295,1
332,184,153,1
333,1,33,1
334,1,160,1
335,184,321,1
336,54,595,1
337,94,343,1
338,128,508,1
339,23,323,1
340,301,227,1
341,301,191,1
342,112,903,1
343,82,183,1
344,222,724,1
345,218,430,1
346,308,1197,1
347,303,134,1
348,133,751,1
349,215,212,1
350,69,256,1
351,254,662,1
352,276,2,1
353,104,984,1
354,63,1067,1
355,267,410,1
356,13,56,1
357,240,879,1
358,286,237,1
359,294,271,1
360,90,1086,1
361,18,26,1
362,92,229,1
363,308,649,1
364,144,89,1
365,191,302,1
366,59,951,1
367,200,96,1
368,16,197,1
369,61,678,1
370,271,199,1
371,271,709,1
372,142,169,1
373,275,597,1
374,222,151,1
375,87,40,1
376,207,258,1
377,272,1393,1
378,177,333,1
379,207,1115,1
380,299,577,1
381,271,378,1
382,305,425,1
383,49,959,1
384,94,1224,1
385,130,1017,1
386,10,175,1
387,203,321,1
388,191,286,1
389,43,323,1
390,21,558,1
391,197,96,1
392,13,344,1
393,194,66,1
394,234,206,1
